cycle,selection_strategy,n_candidates_tested,n_constraint_violations,best_rpe_transduction,best_neut_escape,pareto_frontier_size,pareto_hypervolume,timestamp
0,random_baseline,5,0,0.16187498140456177,0.319488981490822,4,0.2496,2026-06-20 13:33:47
1,random_baseline,5,0,0.34336749749974704,0.4239802598098759,2,0.2496,2026-06-20 13:33:47
2,random_baseline,5,1,0.40954779666090135,0.27825346541961343,3,0.2496,2026-06-20 13:33:47
3,random_baseline,5,0,0.38158210032568624,0.358059262634789,3,0.2496,2026-06-20 13:33:47
4,random_baseline,5,0,0.1598768449497492,0.37989966393109287,3,0.2496,2026-06-20 13:33:47
5,random_baseline,5,0,0.2049657450947086,0.37307864289217946,2,0.2496,2026-06-20 13:33:47
6,random_baseline,5,0,0.42256007281228003,0.23971323738735412,3,0.2496,2026-06-20 13:33:47
7,random_baseline,5,1,0.20000099720915052,0.36312281147353076,2,0.2496,2026-06-20 13:33:47
8,random_baseline,5,0,0.2953408542273148,0.4038281193199609,3,0.2496,2026-06-20 13:33:47
9,random_baseline,5,0,0.435989872273121,0.41427749620333043,2,0.2496,2026-06-20 13:33:47
0,rl_policy,5,1,0.45140433000969626,0.287761137822021,1,0.2496,2026-06-20 13:33:47
1,rl_policy,5,2,0.39008813195811226,0.371105014501773,2,0.2496,2026-06-20 13:33:47
2,rl_policy,5,0,0.5180300194291259,0.33435127725915104,2,0.26219277035190813,2026-06-20 13:33:47
3,rl_policy,5,0,0.38819588885094874,0.3544489108271113,3,0.26219277035190813,2026-06-20 13:33:47
4,rl_policy,5,1,0.4319552959111324,0.30143366078361716,1,0.26219277035190813,2026-06-20 13:33:47
5,rl_policy,5,0,0.2675789260604439,0.4070583016753012,1,0.26219277035190813,2026-06-20 13:33:47
6,rl_policy,5,0,0.2962050079800156,0.32683537281937036,1,0.26219277035190813,2026-06-20 13:33:47
7,rl_policy,5,0,0.19256336973234833,0.3785607521949249,4,0.26219277035190813,2026-06-20 13:33:47
8,rl_policy,5,0,0.12402733252516096,0.28016362833536573,2,0.26219277035190813,2026-06-20 13:33:47
9,rl_policy,5,0,0.17818933189143565,0.33062095232389166,3,0.26219277035190813,2026-06-20 13:33:47
